"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2024","99.49","101.25","102.00","99.00","42.43K","-0.51%"
"06/10/2024","100.00","101.50","101.50","100.00","28.33K","-0.06%"
"06/07/2024","100.06","98.61","101.50","98.10","37.14K","-0.93%"
"06/06/2024","101.00","98.00","101.33","98.00","18.11K","1.00%"
"06/05/2024","100.00","100.51","100.98","99.50","13.47K","-0.20%"
"06/04/2024","100.20","100.11","101.70","99.99","35.18K","-0.74%"
"06/03/2024","100.95","102.00","102.99","100.60","44.86K","-0.16%"
"05/31/2024","101.11","98.65","103.00","98.65","73.30K","-0.87%"
"05/30/2024","102.00","96.00","103.00","96.00","86.57K","2.00%"
"05/29/2024","100.00","101.00","104.89","96.00","73.89K","-1.96%"
"05/27/2024","102.00","103.92","103.92","101.10","38.49K","-1.45%"
"05/24/2024","103.50","103.74","103.74","102.10","32.76K","1.36%"
"05/23/2024","102.11","101.99","102.89","100.15","37.27K","0.55%"
"05/22/2024","101.55","104.40","104.40","101.52","24.03K","-1.88%"
"05/21/2024","103.50","102.50","105.00","101.50","198.04K","0.39%"
"05/20/2024","103.10","103.74","103.74","100.50","63.44K","-0.15%"
"05/17/2024","103.25","103.49","106.79","102.00","144.02K","0.49%"
"05/16/2024","102.75","102.79","104.40","101.50","205.73K","-0.24%"
"05/15/2024","103.00","97.50","103.50","97.00","406.71K","5.75%"
"05/14/2024","97.40","98.00","98.68","96.10","65.34K","0.41%"
"05/13/2024","97.00","96.60","99.00","95.00","120.78K","0.01%"
"05/10/2024","96.99","94.44","97.52","94.44","353.37K","3.73%"
"05/09/2024","93.50","93.00","94.00","92.85","31.57K","0.54%"
"05/08/2024","93.00","94.95","94.95","92.80","39.94K","-0.85%"
"05/07/2024","93.80","94.00","95.30","92.10","155.57K","-0.21%"
"05/06/2024","94.00","93.00","95.99","92.30","244.34K","1.84%"
"05/03/2024","92.30","93.69","94.89","91.20","149.14K","-0.72%"
"05/02/2024","92.97","92.89","94.75","91.26","85.95K","0.98%"
"04/30/2024","92.07","95.00","95.15","91.99","75.44K","-4.09%"
"04/29/2024","96.00","96.94","97.15","95.41","69.53K","-0.16%"
"04/26/2024","96.15","96.01","98.50","96.01","60.68K","-2.97%"
"04/25/2024","99.09","104.00","104.80","97.00","199.66K","-4.26%"
"04/24/2024","103.50","102.80","105.50","102.43","130.81K","0.78%"
"04/23/2024","102.70","97.61","104.00","97.60","234.82K","5.88%"
"04/22/2024","97.00","94.40","99.45","94.40","87.08K","1.15%"
"04/19/2024","95.90","95.50","96.79","94.98","10.28K","-0.62%"
"04/18/2024","96.50","97.50","97.50","96.00","11.87K","0.00%"
"04/17/2024","96.50","97.50","97.70","96.00","47.86K","-0.97%"
"04/16/2024","97.45","97.50","98.48","89.86","88.62K","0.21%"
"04/15/2024","97.25","96.50","97.25","96.00","61.87K","0.78%"
"04/09/2024","96.50","96.00","97.40","95.50","79.30K","1.05%"
"04/08/2024","95.50","97.50","97.50","95.00","48.17K","-0.03%"
"04/04/2024","95.53","97.00","99.40","95.00","31.95K","-1.52%"
"04/03/2024","97.00","93.97","98.95","93.00","128.88K","3.75%"
"04/02/2024","93.49","94.97","94.97","92.02","2.74K","-1.17%"
"04/01/2024","94.60","94.99","94.99","92.00","23.16K","0.11%"
"03/29/2024","94.50","95.00","95.00","93.12","16.18K","0.43%"
"03/28/2024","94.10","93.00","94.10","92.70","113.02K","1.18%"
"03/27/2024","93.00","93.50","93.99","93.00","16.99K","-1.06%"
"03/26/2024","94.00","92.75","94.80","92.75","29.47K","0.01%"
"03/25/2024","93.99","92.50","94.00","92.05","13.99K","1.50%"
"03/22/2024","92.60","91.20","92.60","91.20","29.89K","0.04%"
"03/21/2024","92.56","92.00","92.75","92.00","139.40K","0.06%"
"03/20/2024","92.50","91.00","93.60","90.00","295.51K","3.35%"
"03/19/2024","89.50","86.55","89.50","86.55","1.02M","2.89%"
"03/18/2024","86.99","87.00","88.00","86.00","9.15K","0.57%"
"03/15/2024","86.50","85.62","87.90","85.62","8.78K","-1.14%"
"03/14/2024","87.50","85.09","88.00","84.00","11.43K","0.57%"
"03/13/2024","87.00","87.60","89.00","85.00","71.94K","-1.14%"
"03/12/2024","88.00","89.50","89.89","83.60","68.30K","-1.57%"
"03/11/2024","89.40","89.00","90.50","89.00","28.15K","0.73%"
"03/08/2024","88.75","87.99","89.00","87.11","19.76K","1.43%"
"03/07/2024","87.50","87.00","88.00","87.00","260.89K","-0.57%"
"03/06/2024","88.00","89.30","89.30","88.00","46.07K","-0.56%"
"03/05/2024","88.50","89.40","89.40","88.00","26.02K","0.57%"
"03/04/2024","88.00","89.99","89.99","88.00","17.51K","-1.11%"
"03/01/2024","88.99","90.48","90.48","88.00","33.57K","0.55%"
"02/29/2024","88.50","89.00","91.00","88.00","43.43K","-0.55%"
"02/28/2024","88.99","87.45","89.49","87.01","49.61K","2.88%"
"02/27/2024","86.50","87.50","88.25","86.50","81.70K","-0.57%"
"02/26/2024","87.00","86.49","87.98","85.96","24.74K","1.05%"
"02/23/2024","86.10","85.85","86.50","85.00","21.45K","1.29%"
"02/22/2024","85.00","85.95","85.95","84.50","16.01K","0.00%"
"02/21/2024","85.00","84.99","87.00","84.25","20.68K","2.04%"
"02/20/2024","83.30","85.48","85.48","82.28","18.80K","-1.88%"
"02/19/2024","84.90","82.39","84.90","78.11","177.31K","3.08%"
"02/16/2024","82.36","87.60","89.99","82.30","789.06K","-7.46%"
"02/15/2024","89.00","92.15","92.15","88.51","16.78K","-4.31%"
"02/14/2024","93.01","91.00","93.01","90.20","35.21K","3.34%"
"02/13/2024","90.00","88.20","90.50","88.00","17.36K","-0.08%"
"02/12/2024","90.07","90.57","92.70","90.00","48.26K","-2.63%"
"02/09/2024","92.50","93.47","93.47","90.10","158.42K","0.00%"
"02/07/2024","92.50","92.00","92.97","92.00","41.34K","0.12%"
"02/06/2024","92.39","93.00","93.47","92.11","57.05K","0.31%"
"02/02/2024","92.10","91.50","92.89","91.15","184.69K","-0.80%"
"02/01/2024","92.84","90.50","92.98","90.50","37.55K","0.80%"
"01/31/2024","92.10","91.50","93.00","89.10","163.56K","-0.86%"
"01/30/2024","92.90","94.60","95.00","90.00","139.84K","-2.21%"
"01/29/2024","95.00","96.00","96.00","92.50","109.00K","0.00%"
"01/26/2024","95.00","94.05","97.99","94.05","44.25K","-3.06%"
"01/25/2024","98.00","97.49","98.90","96.00","136.16K","1.77%"
"01/24/2024","96.30","93.50","97.30","93.50","180.36K","2.98%"
"01/23/2024","93.51","92.20","94.50","92.20","52.40K","1.42%"
"01/22/2024","92.20","92.00","93.00","92.00","26.89K","-0.02%"
"01/19/2024","92.22","93.50","93.50","92.00","106.11K","0.02%"
"01/18/2024","92.20","92.81","93.98","90.01","141.17K","-0.97%"
"01/17/2024","93.10","90.25","93.95","90.25","325.48K","3.44%"
"01/16/2024","90.00","90.04","90.94","89.00","44.75K","-0.04%"
"01/15/2024","90.04","91.55","92.90","90.00","43.91K","-1.61%"
"01/12/2024","91.51","92.99","93.40","91.00","62.00K","-0.53%"
"01/11/2024","92.00","92.30","94.00","91.50","131.05K","0.55%"
"01/10/2024","91.50","90.61","93.00","90.61","97.28K","0.00%"
"01/09/2024","91.50","92.00","94.88","90.03","116.82K","0.21%"
"01/08/2024","91.31","98.16","98.16","90.03","528.86K","-5.87%"
"01/05/2024","97.00","97.55","98.50","96.55","59.51K","-0.62%"
"01/04/2024","97.61","99.30","99.30","96.00","172.24K","-1.65%"
"01/03/2024","99.25","100.75","101.60","98.80","184.31K","0.25%"
"01/02/2024","99.00","103.98","104.75","97.99","454.42K","-3.41%"
"01/01/2024","102.50","98.00","103.44","98.00","240.36K","6.66%"
"12/29/2023","96.10","93.06","97.60","93.06","87.20K","-0.10%"
"12/28/2023","96.20","94.85","97.49","93.00","377.94K","4.51%"
"12/27/2023","92.05","86.48","92.05","83.66","221.27K","7.03%"
"12/26/2023","86.00","90.00","92.00","85.16","140.67K","-5.49%"
